id,name,balance,cleared_balance,uncleared_balance
1f1191b5-29e8-4645-bac4-d74c671a7ccd,WF Spending,-351.04,-351.04,0.0
fc7323fe-fe79-47df-9a8b-ff12b2f43cc4,WF Bills,9196.75,9196.75,0.0
6579f000-12fc-4ee5-b2c1-aa2974922889,WF Shared,1008.25,1008.25,0.0
60368922-40ce-431e-ae98-baaf785baac0,WF Savings,500.0,500.0,0.0
766dd79f-a175-4f04-969c-909b99659cee,Ally Spending,644.55,644.55,0.0
357fde3b-e398-496b-b78d-2631b22e0a2e,Ally Savings,-604.35,-1110.35,506.0
d93226d2-991c-4250-a2f4-5099e9b7bb29,Real Estate Spending – 7369,5213.45,5213.45,0.0
d643ad22-edf0-4109-8513-e6490513ded1,Real Estate Savings – 7358,4089.16,2489.16,1600.0
c7d8b55a-69c6-4657-b8f0-6763a4cf7a67,Ally Spending Alt,0.0,0.0,0.0
